City,State,Population
New York city,New York,8537673
Los Angeles city,California,3976322
Chicago city,Illinois,2704958
Houston city,Texas,2303482
Phoenix city,Arizona,1615017
Philadelphia city,Pennsylvania,1567872
San Antonio city,Texas,1492510
San Diego city,California,1406630
Dallas city,Texas,1317929
San Jose city,California,1025350
Austin city,Texas,947890
Jacksonville city,Florida,880619
San Francisco city,California,870887
Columbus city,Ohio,860090
Indianapolis city (balance),Indiana,855164
Fort Worth city,Texas,854113
Charlotte city,North Carolina,842051
Seattle city,Washington,704352
Denver city,Colorado,693060
El Paso city,Texas,683080
Washington city,District of Columbia,681170
Boston city,Massachusetts,673184
Detroit city,Michigan,672795
Nashville-Davidson metropolitan government (balance),Tennessee,660388
Memphis city,Tennessee,652717
Portland city,Oregon,639863
Oklahoma City city,Oklahoma,638367
Las Vegas city,Nevada,632912
Louisville/Jefferson County metro government (balance),Kentucky,616261
Baltimore city,Maryland,614664
Milwaukee city,Wisconsin,595047
Albuquerque city,New Mexico,559277
Tucson city,Arizona,530706
Fresno city,California,522053
Sacramento city,California,495234
Mesa city,Arizona,484587
Kansas City city,Missouri,481420
Atlanta city,Georgia,472522
Long Beach city,California,470130
Colorado Springs city,Colorado,465101
Raleigh city,North Carolina,458880
Miami city,Florida,453579
Virginia Beach city,Virginia,452602
Omaha city,Nebraska,446970
Oakland city,California,420005
Minneapolis city,Minnesota,413651
Tulsa city,Oklahoma,403090
Arlington city,Texas,392772
New Orleans city,Louisiana,391495
Wichita city,Kansas,389902
Cleveland city,Ohio,385809
Tampa city,Florida,377165
Bakersfield city,California,376380
Aurora city,Colorado,361710
Urban Honolulu CDP,Hawaii,351792
Anaheim city,California,351043
Santa Ana city,California,334217
Corpus Christi city,Texas,325733
Riverside city,California,324722
Lexington-Fayette urban county,Kentucky,318449
St. Louis city,Missouri,311404
Stockton city,California,307072
Pittsburgh city,Pennsylvania,303625
St. Paul city,Minnesota,302398
Cincinnati city,Ohio,298800
Anchorage municipality,Alaska,298192
Henderson city,Nevada,292969
Greensboro city,North Carolina,287027
Plano city,Texas,286057
Newark city,New Jersey,281764
Lincoln city,Nebraska,280364
Toledo city,Ohio,278508
Orlando city,Florida,277173
Chula Vista city,California,267172
Irvine city,California,266122
Fort Wayne city,Indiana,264488
Jersey City city,New Jersey,264152
Durham city,North Carolina,263016
St. Petersburg city,Florida,260999
Laredo city,Texas,257156
Buffalo city,New York,256902
Madison city,Wisconsin,252551
Lubbock city,Texas,252506
Chandler city,Arizona,247477
Scottsdale city,Arizona,246645
Glendale city,Arizona,245895
Reno city,Nevada,245255
Norfolk city,Virginia,245115
Winston-Salem city,North Carolina,242203
North Las Vegas city,Nevada,238702
Irving city,Texas,238289
Chesapeake city,Virginia,237940
Gilbert town,Arizona,237133
Hialeah city,Florida,236387
Garland city,Texas,234943
Fremont city,California,233136
Baton Rouge city,Louisiana,227715
Richmond city,Virginia,223170
Boise City city,Idaho,223154
San Bernardino city,California,216239
Spokane city,Washington,215973
Des Moines city,Iowa,215472
Modesto city,California,212175
Birmingham city,Alabama,212157
Tacoma city,Washington,211277
Fontana city,California,209665
Rochester city,New York,208880
Oxnard city,California,207906
Moreno Valley city,California,205499
Fayetteville city,North Carolina,204759
Aurora city,Illinois,201110
Glendale city,California,200831
Yonkers city,New York,200807
Huntington Beach city,California,200652
Montgomery city,Alabama,200022
Amarillo city,Texas,199582
Little Rock city,Arkansas,198541
Akron city,Ohio,197633
Columbus city,Georgia,197485
Augusta-Richmond County consolidated government (balance),Georgia,197081
Grand Rapids city,Michigan,196445
Shreveport city,Louisiana,194920
Salt Lake City city,Utah,193744
Huntsville city,Alabama,193079
Mobile city,Alabama,192904
Tallahassee city,Florida,190894
Grand Prairie city,Texas,190682
Overland Park city,Kansas,188966
Knoxville city,Tennessee,186239
Port St. Lucie city,Florida,185132
Worcester city,Massachusetts,184508
Brownsville city,Texas,183823
Tempe city,Arizona,182498
Santa Clarita city,California,181972
Newport News city,Virginia,181825
Cape Coral city,Florida,179804
Providence city,Rhode Island,179219
Fort Lauderdale city,Florida,178752
Chattanooga city,Tennessee,177571
Rancho Cucamonga city,California,176534
Oceanside city,California,175464
Santa Rosa city,California,175155
Garden Grove city,California,174858
Vancouver city,Washington,174826
Sioux Falls city,South Dakota,174360
Ontario city,California,173212
McKinney city,Texas,172298
Elk Grove city,California,169743
Jackson city,Mississippi,169148
Pembroke Pines city,Florida,168587
Salem city,Oregon,167419
Springfield city,Missouri,167319
Corona city,California,166785
Eugene city,Oregon,166575
Fort Collins city,Colorado,164207
Peoria city,Arizona,164173
Frisco city,Texas,163656
Cary town,North Carolina,162320
Lancaster city,California,160106
Hayward city,California,158937
Palmdale city,California,157356
Salinas city,California,157218
Alexandria city,Virginia,155810
Lakewood city,Colorado,154393
Springfield city,Massachusetts,154074
Pasadena city,Texas,153351
Sunnyvale city,California,152771
Macon-Bibb County,Georgia,152555
Pomona city,California,152494
Hollywood city,Florida,151998
Kansas City city,Kansas,151709
Escondido city,California,151613
